Property Name,Portfolio Manager ID,Street Address,City/Municipality,State/Province,Postal Code,Country,Property Type - Self-Selected,Gross Floor Area,GFA Units
Metro Hall,34999123,55 JOHN ST,Toronto,Ontario,M5V 3C6,Canada,Office,787186,Sq. Ft.
Golden Mile Employment & Social Services,34999120,1880 EGLINTON AVE E,Scarborough,Ontario,M1L 2L1,Canada,Office,45000,Sq. Ft.
Health Office - Jane Street Clinic,34999121,662 JANE ST,Toronto,Ontario,M6N 4A7,Canada,Office,2540,Sq. Ft.
The Queensway Employment & Social Services,34999134,779 THE QUEENSWAY,Etobicoke,Ontario,M8Z 1N4,Canada,Office,22497,Sq. Ft.
Toronto Island Service Office,34999135,1 Lakeshore Ave,Toronto,Ontario,M5J 2W2,Canada,Office,20968,Sq. Ft.
South District Office & Workshop,34999132,149 RIVER ST,Toronto,Ontario,M5A 3P8,Canada,Office,13487,Sq. Ft.
St Lawrence Hall,34999133,157 KING ST E,Toronto,Ontario,M5A 1J3,Canada,Office,55413,Sq. Ft.
Scarborough Civic Centre,34999130,150 BOROUGH DR,Scarborough,Ontario,M1P 4N7,Canada,Office,372868,Sq. Ft.
Scarborough Village Employment & Social Services,34999131,3642 KINGSTON RD,Scarborough,Ontario,M1M 1R9,Canada,Office,1,Sq. Ft.
Public Health HQ,34999128,277 VICTORIA ST,Toronto,Ontario,M5B 1W2,Canada,Office,111385,Sq. Ft.
Rexdale Community Hub,34999129,21 PANORAMA CRT,Etobicoke,Ontario,M9V 4E3,Canada,Office,96369,Sq. Ft.
City Hall Ancillary Office Building,34999110,75 ELIZABETH ST,Toronto,Ontario,M5G 1P4,Canada,Office,14768,Sq. Ft.
Dufferin Employment & Social Services,34999111,900 Dufferin St,Toronto,Ontario,M6H 4A9,Canada,Office,27894,Sq. Ft.
City Clerk's Office (2 Hobson Ave),34999108,2 HOBSON AVE,North York,Ontario,M4A 1B3,Canada,Office,34843,Sq. Ft.
City Hall,34999109,100 QUEEN ST W,Toronto,Ontario,M5H 2N1,Canada,Office,780061,Sq. Ft.
Bridlewood Employment & Social Services,34999106,2900 Warden Ave,Scarborough,Ontario,M1W 2S8,Canada,Office,34399,Sq. Ft.
Chaplin Crescent Storage,34999107,329 CHAPLIN CRES,Toronto,Ontario,M5N 2M9,Canada,Office,18299,Sq. Ft.
Attwell Employment & Social Services,34999104,220 ATTWELL DR,Etobicoke,Ontario,M9W 6T9,Canada,Office,20279,Sq. Ft.
Beaches Employment & Social Services,34999105,1631 QUEEN ST E,Toronto,Ontario,M4L 1G4,Canada,Office,25327,Sq. Ft.
Forestry W District Office,34999118,1 Bathurst St,Toronto,Ontario,M5V 2N8,Canada,Office,8999,Sq. Ft.
Former Hydro Building,34999119,1652 KEELE ST,Toronto,Ontario,M6M 3W3,Canada,Office,22497,Sq. Ft.
Election Services Building,34999116,89 NORTHLINE RD,East York,Ontario,M4B 3G1,Canada,Office,55004,Sq. Ft.
